Luni,IdLuna,Ani,Index,Valoare,Delta,FFT freq,FFT mag,FFT Complex
aprilie,4,2015,280,5.2,-0.3,0.845454546,0.030697607,-3.1589038137711576+3.9593706839685i
mai,5,2015,281,5,-0.2,0.848484849,0.048408906,7.7121854755473125+2.0789092175886617i
iunie,6,2015,282,5,0,0.851515152,0.039596842,1.2841489414717802-6.406036815374039i
iulie,7,2015,283,5.1,0.1,0.854545455,0.028413258,2.064557782344887+4.209121508351626i
August,8,2015,284,5,-0.1,0.857575758,0.049380673,7.245104419541883-3.72763835865742i
septembrie,9,2015,285,4.9,-0.1,0.860606061,0.042139,-6.675055415268559-1.9460061151079608i
octombrie,10,2015,286,4.9,0,0.863636364,0.032759746,1.6937888024194612+5.133125340366432i
noiembrie,11,2015,287,4.9,0,0.866666667,0.044835234,6.1140672300384225-4.164832418003325i
decembrie,12,2015,288,5,0.1,0.86969697,0.009245761,-0.146386717194244-1.5185109584085008i
ianuarie,1,2016,289,4.9,-0.1,0.872727273,0.044726033,6.784617045350408+2.903507052071352i
februarie,2,2016,290,4.9,0,0.875757576,0.057792089,2.5593083531175767-9.185826765889985i
martie,3,2016,291,4.8,-0.1,0.878787879,0.039091644,-6.400616419060968-0.7976049424321086i
aprilie,4,2016,292,4.7,-0.1,0.881818182,0.038748752,5.910344672413094-2.4382847240457806i
mai,5,2016,293,4.7,0,0.884848485,0.049758053,-5.050064820854025-6.473193720950343i
iunie,6,2016,294,4.7,0,0.887878788,0.032325778,-2.4418457096850155+4.741973642224058i
iulie,7,2016,295,4.8,0.1,0.890909091,0.012803687,2.0908543734819856+0.30239381929814335i
August,8,2016,296,4.8,0,0.893939394,0.04293382,-3.213488976462332-6.313294008732072i
septembrie,9,2016,297,4.8,0,0.896969697,0.04124339,1.1627641226502416+6.705085693906255i
octombrie,10,2016,298,4.8,0,0.9,0.028563531,2.6781152949374545-3.8781314915557337i
noiembrie,11,2016,299,4.8,0,0.903030303,0.028411442,-4.5049544537286454-1.296795254647425i
decembrie,12,2016,300,4.8,0,0.906060606,0.04853968,2.94832447581034+7.446624657601559i
ianuarie,1,2017,301,4.8,0,0.909090909,0.045874999,-2.2358929119492177-7.231612370740042i
februarie,2,2017,302,4.7,-0.1,0.912121212,0.058399595,-3.4669577005501253+8.990629214504041i
martie,3,2017,303,4.6,-0.1,0.915151515,0.241517611,39.84940874759328-0.28190373456801154i
aprilie,4,2017,304,4.4,-0.2,0.918181818,0.1675955,-16.26124337883453-22.366819538119177i
mai,5,2017,305,4.2,-0.2,0.921212121,0.106279892,-17.194138796986824+3.446632961190084i
iunie,6,2017,306,4.2,0,0.924242424,0.014969289,1.9686780752745345-1.4916011603712995i
iulie,7,2017,307,4.2,0,0.927272727,0.040824681,-5.9577895968975945-3.1431533778496883i
August,8,2017,308,4.2,0,0.93030303,0.054223756,-1.8871463340046528+8.745630439404763i
septembrie,9,2017,309,4.1,-0.1,0.933333333,0.025090325,-1.966968727196961-3.642778561859074i
octombrie,10,2017,310,4,-0.1,0.936363636,0.050183682,-7.975886435498076+2.224573484922764i
noiembrie,11,2017,311,4,0,0.939393939,0.024926931,0.8849345220073952+4.016615023213871i
decembrie,12,2017,312,4,0,0.942424242,0.038426297,-1.8592011820194267-6.061622663513922i
ianuarie,1,2018,313,4,0,0.945454546,0.067732735,-9.178061850041892+6.376829042992706i
februarie,2,2018,314,4,0,0.948484849,0.068985236,3.9319060790609273+10.681894748145968i
martie,3,2018,315,3.8,-0.2,0.951515152,0.009325826,1.5267797513441672+0.19165071705004233i
aprilie,4,2018,316,3.6,-0.2,0.954545455,0.038295478,-2.1330483080847533+5.947836143167475i
mai,5,2018,317,3.5,-0.1,0.957575758,0.044580555,7.261131898265217-1.1762793325826242i
iunie,6,2018,318,3.5,0,0.960606061,0.054485212,-8.894954662830902+1.3042080916736538i
iulie,7,2018,319,3.5,0,0.963636364,0.040022789,-1.167911642777354+6.499663930318371i
August,8,2018,320,3.5,0,0.966666667,0.047874134,7.875453663898865+0.6124517908670697i
septembrie,9,2018,321,3.4,-0.1,0.96969697,0.042457296,-3.2388066383047835+6.211804584397465i
octombrie,10,2018,322,3.3,-0.1,0.972727273,0.002350579,-0.026383289428286993+0.3869471599470184i
noiembrie,11,2018,323,3.3,0,0.975757576,0.054644309,8.989353785693966-0.6966946735815638i
decembrie,12,2018,324,3.3,0,0.978787879,0.078446647,-9.615289779043438+8.66518825525468i
ianuarie,1,2019,325,3.3,0,0.981818182,0.02944085,-2.5455766622076035+4.137351809228629i
februarie,2,2019,326,3.3,0,0.984848485,0.111642466,11.351860380846846+14.507541515214179i
martie,3,2019,327,3.2,-0.1,0.987878788,0.066771415,8.326392754521134+7.214687782051398i
aprilie,4,2019,328,3,-0.2,0.990909091,0.053445364,7.297917242574336-4.950361817534167i
mai,5,2019,329,2.9,-0.1,0.993939394,0.043030129,1.2230095479076173+6.993842977764875i
iunie,6,2019,330,3,0.1,0.996969697,0.04612612,7.600111879800382+0.4033917790722703i
iulie,7,2019,331,3,0,,,
